shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-6.42,-84.00,10.95,86.46,93.23,3.65
-6.42,-84.00,10.95,86.46,93.23,3.65
-6.42,-84.00,10.95,86.46,93.23,3.65
-6.42,-84.00,10.95,86.46,93.23,3.65
-6.51,-83.38,10.95,86.46,93.23,3.65
-6.51,-83.03,10.59,86.46,93.23,3.65
-6.24,-81.54,10.51,86.46,93.23,3.65
-6.15,-76.00,10.42,86.46,93.23,3.65
-6.07,-65.19,10.15,86.46,93.23,3.65
-6.33,-58.59,8.57,85.93,93.23,3.65
-6.33,-52.35,4.79,85.93,93.23,3.65
-6.33,-45.93,-0.04,85.93,93.23,3.65
-6.33,-38.90,-4.44,85.85,93.23,3.65
-6.51,-25.19,-12.18,85.76,93.23,3.65
-6.77,-17.89,-17.80,85.32,93.23,3.65
-8.09,-11.21,-23.78,83.56,93.05,3.65
-10.11,-5.14,-29.67,80.57,93.05,3.65
-12.13,0.84,-34.68,76.70,92.88,3.65
-14.33,7.16,-38.37,73.27,92.79,3.65
-16.62,13.32,-40.57,70.55,92.79,3.65
-18.64,18.68,-41.89,68.18,92.79,3.65
-20.31,23.16,-42.42,66.51,92.88,3.65
-21.54,27.12,-42.42,65.27,92.88,3.65
-22.51,30.90,-42.51,64.04,92.88,3.65
-22.95,34.42,-42.59,62.29,92.88,3.65
-22.95,37.05,-42.59,60.18,92.88,3.65
-22.86,38.81,-42.59,57.71,92.79,3.65
-22.77,40.22,-42.59,54.55,92.79,3.65
-22.86,42.15,-42.51,51.38,92.79,3.65
-22.77,44.79,-42.51,48.66,92.79,3.65
-22.77,46.99,-42.59,47.52,92.79,3.65
-22.77,48.40,-42.59,47.52,92.79,3.65
-22.77,49.10,-42.59,47.52,92.70,3.65
-22.77,49.19,-42.51,47.52,92.70,3.65
-22.77,49.19,-42.42,47.60,92.70,3.65
-22.77,49.27,-42.33,47.60,92.70,3.72
-22.77,49.27,-42.33,47.60,92.70,3.72
-22.77,49.27,-42.33,47.60,92.70,3.72
-22.77,49.27,-42.24,47.60,92.70,3.72
-22.77,49.36,-42.15,47.60,92.70,3.72
-22.77,49.36,-42.15,47.60,92.70,3.72
-22.77,49.45,-42.15,47.60,92.70,3.72
-22.95,49.45,-42.15,47.60,92.70,3.78
-22.95,49.45,-42.24,47.43,92.70,3.90
-23.03,49.36,-42.33,47.16,92.70,4.27
-23.03,49.36,-42.24,47.43,92.70,6.07
-23.03,49.36,-42.24,47.43,92.70,9.10
-23.03,49.36,-42.42,47.16,92.70,13.25
-22.95,49.27,-42.42,47.25,92.70,17.77
-22.86,49.27,-42.33,47.43,92.70,21.73
-22.59,49.27,-42.24,47.52,92.70,24.64
-22.59,49.27,-42.15,47.52,92.70,26.32
-22.51,49.36,-42.33,47.52,92.70,26.56
-22.51,49.36,-42.33,47.52,92.70,26.56
-22.51,49.36,-42.24,47.52,92.70,26.56
-22.42,49.36,-42.24,47.43,92.70,26.56
-22.33,49.36,-42.24,47.43,92.70,26.56
-21.71,49.36,-42.24,47.43,92.79,26.56
-21.63,49.36,-42.33,47.16,92.79,26.56
-21.54,48.66,-42.51,46.90,92.79,26.56
-21.54,47.78,-43.21,46.90,92.79,26.56
-21.54,44.00,-45.32,47.69,92.79,26.50
-21.80,38.64,-46.90,48.84,92.79,26.44
-21.89,33.27,-47.08,51.12,92.79,26.44
-22.07,28.26,-47.08,54.90,92.79,26.44
-22.07,22.90,-47.08,60.35,92.79,26.32
-21.98,17.45,-47.25,66.24,92.79,25.26
-21.54,9.27,-47.25,76.26,92.79,20.12
-21.45,4.70,-47.34,81.36,92.79,15.05
-21.36,-0.04,-47.34,85.67,92.79,9.23
-21.01,-4.79,-47.34,89.45,92.79,3.22
-18.90,-9.27,-47.34,93.05,92.79,0.93
-14.86,-13.85,-47.34,96.48,92.79,2.29
-9.23,-18.59,-47.25,100.09,92.79,3.65
-1.93,-23.25,-47.16,103.52,92.79,4.27
7.38,-26.86,-46.99,104.57,92.79,4.27
17.49,-29.05,-46.99,104.57,92.79,4.27
28.48,-29.93,-46.99,104.57,92.79,4.27
38.86,-30.55,-46.99,104.57,92.79,4.27
48.97,-31.60,-46.90,104.57,92.79,4.27
56.97,-32.40,-46.81,104.57,92.79,4.27
63.30,-33.19,-46.46,104.66,92.79,4.27
67.96,-34.33,-44.18,104.66,92.70,4.27
70.68,-35.30,-38.55,104.66,92.70,4.27
72.53,-36.79,-28.88,104.66,92.70,4.27
74.11,-41.98,-19.47,104.66,92.70,4.27
75.96,-49.27,-8.22,104.57,92.79,4.27
78.07,-57.63,4.35,104.57,93.05,4.27
80.18,-67.82,16.31,104.40,93.23,4.27
82.46,-78.20,27.91,103.34,93.23,4.27
84.84,-86.37,38.73,100.09,93.23,4.27
88.09,-96.57,57.89,90.95,93.23,4.27
89.05,-100.88,67.82,86.11,93.23,4.27
89.14,-105.54,77.14,82.07,93.23,4.27
89.05,-107.30,84.79,79.69,93.23,4.27
89.05,-107.03,90.77,78.46,93.23,4.27
88.97,-106.95,96.04,78.64,93.23,4.27
89.05,-106.86,99.03,79.08,93.23,4.27
88.70,-106.59,98.77,79.69,92.97,4.27
88.00,-106.51,97.98,80.57,92.79,4.27
87.91,-106.42,97.98,81.01,92.79,4.27
87.65,-106.42,97.98,80.84,92.79,4.27
87.56,-106.51,97.89,80.75,92.79,4.27
87.56,-106.51,97.89,80.75,92.79,4.27
87.65,-106.51,97.89,80.75,92.79,4.27
87.65,-106.51,97.89,80.75,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
87.65,-106.51,97.89,80.66,92.79,4.27
