shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
89.41,-106.15,97.54,81.36,98.59,2.29
89.32,-105.98,95.96,81.36,98.59,2.29
89.14,-105.36,92.09,81.36,98.59,2.29
87.82,-102.46,85.85,81.36,98.59,2.29
85.19,-96.31,77.23,81.36,98.59,2.29
82.02,-88.13,67.12,81.36,98.59,2.29
79.21,-78.20,55.96,81.36,98.59,2.29
77.10,-67.30,44.44,81.36,98.59,2.29
75.60,-56.75,33.89,81.36,98.59,2.29
74.37,-46.46,23.96,81.36,98.59,2.29
73.14,-36.70,14.99,81.36,98.59,2.29
71.56,-27.21,6.81,81.36,98.59,2.29
69.89,-18.59,-0.04,81.36,98.59,2.29
67.78,-10.24,-6.11,81.36,98.59,2.29
65.41,-2.86,-11.21,81.36,98.59,2.29
63.12,3.30,-15.52,81.36,98.59,2.29
60.75,8.84,-19.12,80.92,98.86,2.29
57.76,13.76,-22.11,80.84,99.12,2.29
53.80,18.42,-24.92,80.75,99.12,2.29
50.11,22.11,-28.26,80.31,99.12,2.29
46.86,25.01,-31.87,79.25,99.12,2.29
42.90,27.38,-36.88,77.49,99.12,2.29
40.44,28.35,-39.87,76.79,99.12,2.29
38.86,29.05,-41.71,76.70,99.21,2.29
37.71,29.41,-42.86,76.70,99.30,2.29
36.31,29.41,-43.21,76.70,99.30,2.29
34.99,29.05,-43.30,76.70,99.30,2.29
34.37,28.97,-43.30,76.62,99.30,2.29
34.11,28.97,-43.30,76.62,99.38,2.29
33.85,29.05,-43.21,76.70,99.38,2.29
33.41,29.32,-43.21,76.70,99.30,2.29
33.05,28.97,-43.30,76.53,99.30,2.29
32.88,28.88,-43.30,76.44,99.21,2.29
32.88,28.79,-43.38,76.44,99.21,2.29
32.88,28.88,-43.38,76.44,99.21,2.29
32.18,28.88,-43.38,76.35,99.21,2.54
31.30,28.88,-43.56,75.30,99.21,3.84
31.03,29.41,-44.26,73.19,99.21,6.63
31.03,29.49,-44.44,71.60,99.21,10.59
31.21,29.58,-44.62,70.99,99.21,15.54
31.82,29.58,-44.70,70.29,99.12,20.99
32.79,29.58,-44.70,69.32,99.12,26.19
33.41,29.58,-44.70,68.00,99.12,30.53
33.85,29.58,-44.62,67.03,99.12,33.68
34.29,29.67,-44.53,66.42,99.12,35.48
34.64,29.67,-44.53,66.07,99.21,35.73
34.81,29.85,-44.35,65.98,99.21,35.73
34.81,30.46,-44.26,65.98,99.21,35.73
34.81,32.92,-44.26,65.98,99.21,35.73
34.73,36.35,-44.62,65.98,99.21,35.73
34.46,39.87,-44.62,65.98,99.21,35.73
34.29,43.21,-44.70,65.89,99.21,35.73
34.20,45.49,-44.79,65.71,99.21,35.73
34.11,47.25,-45.14,64.48,99.21,35.73
34.11,48.92,-45.41,62.37,99.21,35.73
34.11,50.77,-45.41,59.82,99.21,35.73
34.11,52.44,-45.41,57.45,99.21,35.73
34.11,53.58,-45.41,55.60,99.21,35.73
34.11,54.29,-45.41,54.73,99.21,35.73
34.20,54.55,-45.14,54.81,99.21,35.73
34.20,54.64,-45.23,54.73,99.21,35.73
34.20,54.46,-45.32,54.73,99.21,35.73
34.20,54.11,-45.32,54.73,99.21,35.73
34.11,54.11,-45.41,54.73,99.21,35.73
34.11,54.46,-45.41,54.73,99.12,35.73
34.11,54.46,-45.32,54.90,98.95,35.73
34.11,54.46,-45.23,55.16,98.77,35.73
34.11,54.46,-45.14,55.16,98.77,35.73
34.11,54.46,-45.14,55.16,98.77,35.73
34.11,54.46,-45.14,55.16,98.77,35.73
34.11,54.46,-45.14,55.16,98.77,35.73
34.11,54.46,-45.14,55.16,98.77,35.73
34.11,54.46,-45.14,55.08,98.77,35.73
34.11,54.46,-45.23,54.90,98.77,35.73
34.11,54.46,-45.23,54.90,98.77,35.73
34.11,54.55,-45.23,54.73,98.77,35.73
34.11,54.55,-45.23,54.73,98.77,35.73
34.11,54.55,-45.23,54.73,98.77,35.73
34.11,54.55,-45.23,54.73,98.77,35.73
34.11,54.55,-45.23,54.73,98.77,35.73
34.11,54.64,-45.14,54.90,98.77,35.73
34.11,54.64,-44.97,54.90,98.77,35.73
34.11,54.64,-44.97,54.81,98.77,35.73
34.20,54.64,-45.05,54.73,98.95,35.73
34.20,54.64,-45.14,54.73,99.03,35.73
34.20,54.73,-44.97,54.73,99.12,35.67
34.20,54.64,-44.97,55.16,99.12,35.60
34.20,54.55,-44.97,55.16,99.12,35.42
34.20,54.55,-45.05,55.25,99.21,33.93
34.20,54.55,-44.97,55.25,99.21,30.77
34.20,54.55,-44.97,55.34,99.21,25.82
34.11,54.46,-44.88,55.43,99.21,19.38
34.11,54.46,-44.88,55.69,99.30,11.08
34.11,54.46,-44.88,56.57,99.30,3.10
34.11,54.46,-44.88,57.98,99.30,0.00
34.11,54.37,-44.97,59.12,99.30,2.04
34.02,54.29,-44.97,59.74,99.30,3.84
34.02,54.20,-44.97,59.91,99.30,3.34
34.02,53.85,-45.23,59.91,99.30,2.41
34.02,52.62,-45.23,60.09,99.30,2.41
34.02,49.19,-44.88,61.32,99.30,2.41
34.02,44.79,-44.88,64.40,99.03,2.41
33.76,39.60,-44.88,68.70,98.77,2.41
32.70,33.63,-44.88,73.89,98.68,2.41
31.21,27.47,-44.88,79.52,98.59,2.41
30.33,21.93,-44.88,84.88,98.51,2.41
29.71,16.75,-44.97,89.27,98.51,2.41
28.40,11.38,-44.97,92.35,98.51,2.41
26.73,6.02,-44.88,94.64,98.51,2.41
25.49,0.84,-44.88,96.84,98.51,2.41
24.88,-3.56,-44.88,98.77,98.51,2.41
24.09,-7.52,-44.88,100.44,98.51,2.41
22.68,-11.38,-44.79,101.76,98.51,2.41
20.57,-15.34,-44.62,102.11,98.51,2.41
18.55,-19.74,-43.65,102.20,98.51,2.41
16.70,-24.75,-41.27,102.20,98.51,2.41
15.03,-30.20,-37.41,102.20,98.51,2.41
13.01,-36.44,-32.22,102.20,98.51,2.41
10.73,-42.77,-26.33,102.11,98.51,2.41
8.35,-49.27,-20.44,101.93,98.51,2.35
6.51,-55.25,-14.64,101.85,98.59,2.35
5.10,-60.88,-8.92,101.85,98.59,2.35
3.78,-66.24,-3.82,101.76,98.59,2.35
2.29,-70.90,1.01,101.76,98.59,2.35
0.70,-74.95,5.23,101.67,98.59,2.35
-0.70,-78.46,8.66,101.67,98.59,2.35
-1.85,-81.98,11.30,101.67,98.59,2.35
-2.46,-85.14,12.97,101.58,98.59,2.35
-2.55,-87.69,13.85,101.49,98.59,2.35
-2.55,-89.27,14.29,101.49,98.59,2.35
-2.64,-90.15,14.37,101.49,98.59,2.35
-2.64,-90.42,14.37,101.49,98.59,2.35
-2.64,-90.42,14.37,101.49,98.59,2.35
-2.64,-90.42,14.37,101.49,98.59,2.35
-2.64,-90.51,14.37,101.49,98.68,2.35
-2.64,-90.51,14.37,101.49,98.68,2.35
-2.64,-90.51,14.37,101.49,98.68,2.35
-2.64,-90.51,14.37,101.49,98.68,2.35
