shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-6.86,-84.79,14.64,91.91,93.23,3.03
-6.86,-84.79,14.64,91.91,93.23,3.03
-6.86,-84.79,14.64,91.91,93.23,3.03
-6.86,-84.79,14.64,91.91,93.23,3.03
-6.59,-84.79,14.55,91.91,93.23,3.03
-6.77,-84.00,14.29,91.91,93.23,3.03
-6.42,-83.47,14.11,91.91,93.23,3.03
-6.42,-81.19,14.11,91.91,93.23,3.03
-6.42,-77.05,14.02,91.91,93.23,3.03
-6.33,-72.66,14.02,91.91,93.23,3.03
-7.21,-65.10,12.79,91.21,93.05,3.03
-8.70,-60.44,11.56,90.51,93.14,3.03
-11.16,-54.90,10.59,89.19,92.97,3.10
-13.63,-50.59,10.51,87.69,92.97,3.10
-16.97,-46.29,10.51,86.02,92.97,3.10
-20.84,-41.89,10.68,84.44,93.14,3.10
-24.79,-37.67,10.77,84.35,93.23,3.10
-28.84,-33.10,10.77,84.35,93.23,3.10
-32.88,-29.05,10.86,84.35,92.88,3.10
-36.40,-24.84,11.03,84.44,92.79,3.10
-38.68,-19.91,11.56,84.44,92.70,3.10
-39.65,-14.73,11.74,84.44,92.70,3.10
-40.09,-9.98,11.82,84.35,92.70,3.10
-40.18,-4.97,11.82,84.35,92.70,3.10
-40.18,-0.40,11.82,84.35,92.70,3.10
-40.09,3.47,11.65,84.44,92.70,3.10
-40.18,3.47,11.47,84.44,92.70,3.10
-40.26,3.38,11.47,84.44,92.70,3.10
-40.26,3.47,11.47,84.44,92.70,3.10
-40.26,3.47,11.56,84.44,92.70,3.10
-40.18,3.47,11.56,84.44,92.70,3.16
-40.18,3.47,11.47,84.44,92.70,3.22
-40.18,3.38,11.38,84.44,92.70,3.59
-40.26,3.21,11.30,84.18,92.88,5.02
-40.26,2.07,11.30,84.26,93.05,7.74
-40.26,0.84,11.56,84.35,93.14,11.15
-40.09,0.40,11.82,84.44,93.23,14.86
-40.00,0.31,11.65,84.44,93.23,18.76
-40.09,0.31,11.56,84.18,93.23,22.11
-40.09,0.40,11.56,84.00,93.23,25.02
-39.74,0.92,11.65,84.09,93.23,27.06
-39.56,0.92,11.82,84.00,93.23,28.11
-39.47,1.01,11.82,83.91,93.23,28.42
-39.47,1.01,11.74,83.91,92.97,28.42
-39.47,1.01,11.74,83.91,92.88,28.36
-39.47,1.01,11.65,83.82,92.88,28.30
-39.30,1.19,11.65,83.82,92.88,27.31
-39.21,1.19,11.65,83.82,92.88,24.77
-38.59,1.10,11.56,83.82,92.79,20.74
-38.15,1.10,11.47,83.82,92.79,16.28
-38.15,1.10,11.47,83.82,92.79,11.70
-38.33,1.10,11.47,83.82,92.70,7.55
-38.59,1.10,11.38,83.82,92.70,3.78
-38.68,1.10,11.38,83.82,92.70,1.92
-38.68,0.57,11.38,83.82,92.70,2.29
-38.24,-0.57,10.77,83.82,93.14,2.48
-38.15,-4.26,8.40,84.35,92.88,2.48
-38.15,-9.63,6.29,84.62,92.79,2.48
-37.98,-16.13,4.62,84.62,92.70,2.48
-37.27,-22.90,2.59,84.62,92.79,2.48
-29.89,-34.33,0.22,84.70,93.05,2.48
-23.91,-37.49,0.22,84.70,93.14,2.48
-17.49,-39.60,0.40,84.70,93.14,2.48
-5.36,-42.42,0.48,84.70,93.14,2.48
3.16,-44.44,0.66,84.79,93.14,2.48
12.13,-46.55,1.45,84.79,93.14,2.48
19.60,-48.04,2.51,84.70,92.97,2.48
26.55,-49.01,4.26,84.70,92.88,2.48
33.23,-50.42,6.73,84.70,92.88,2.54
40.18,-52.70,10.24,84.70,92.88,2.54
47.38,-55.08,15.43,84.70,92.88,2.54
54.24,-57.19,22.37,84.70,92.88,2.54
59.34,-59.38,30.99,84.26,92.79,2.54
62.95,-62.02,40.13,83.82,92.79,2.54
66.55,-65.27,48.31,83.56,92.79,2.54
70.51,-68.97,54.55,81.80,92.79,2.54
74.11,-73.01,60.26,79.16,92.79,2.54
77.10,-77.41,66.59,76.18,92.88,2.54
79.47,-80.75,72.66,73.80,93.14,2.54
82.11,-84.26,78.46,71.60,93.23,2.54
84.48,-88.57,83.91,69.58,93.23,2.54
85.71,-92.79,88.66,68.79,93.23,2.54
86.68,-97.45,93.49,69.23,93.23,2.54
88.09,-101.58,98.68,70.37,93.14,2.54
90.55,-104.40,99.30,74.33,93.14,2.54
92.92,-106.07,97.71,80.84,93.14,2.54
93.71,-106.07,97.54,82.33,93.14,2.60
93.71,-105.98,97.63,80.48,93.14,2.60
93.71,-106.07,97.89,80.48,93.05,2.60
93.71,-106.07,97.89,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
93.71,-105.98,97.98,80.40,92.88,2.60
