shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-3.96,-89.45,10.59,92.53,92.44,2.60
-3.96,-89.45,10.59,92.53,92.44,2.60
-3.96,-89.10,10.59,92.53,92.44,2.60
-3.96,-89.10,10.59,92.53,92.44,2.60
-3.96,-88.84,10.59,92.44,92.44,2.60
-3.96,-87.69,10.42,92.44,92.44,2.60
-3.96,-85.41,9.98,92.35,92.44,2.60
-3.96,-82.51,9.71,90.95,92.44,2.60
-3.96,-79.25,8.04,86.73,92.44,2.60
-3.96,-74.51,5.32,79.96,92.44,2.60
-3.96,-67.82,2.07,71.08,92.44,2.60
-3.96,-58.07,-2.24,59.30,92.44,2.60
-4.04,-50.42,-5.67,50.07,92.44,2.60
-4.04,-41.27,-9.54,40.13,92.44,2.60
-4.04,-31.25,-13.14,31.87,92.44,2.60
-4.13,-21.76,-17.19,25.01,92.44,2.60
-4.13,-12.79,-21.41,20.26,92.35,2.60
-4.13,-3.91,-25.54,17.27,92.35,2.60
-4.13,4.00,-29.05,16.48,92.35,2.60
-4.13,11.03,-31.96,16.57,92.35,2.60
-4.13,17.80,-33.89,16.57,92.35,2.60
-4.13,23.25,-34.68,16.57,92.44,2.60
-4.13,27.38,-34.42,16.75,92.53,2.60
-4.22,30.90,-34.24,17.10,92.44,2.60
-4.40,34.07,-34.24,18.51,92.44,2.60
-5.54,37.14,-34.24,21.32,92.44,2.60
-6.24,39.87,-34.24,25.71,92.44,2.60
-6.68,41.63,-34.24,31.34,92.44,2.60
-7.30,42.42,-34.33,36.53,92.44,2.60
-8.26,42.77,-34.33,41.54,92.44,2.60
-8.44,43.03,-34.33,44.79,92.44,2.60
-8.62,43.74,-34.33,46.29,92.44,2.60
-8.79,45.05,-34.59,46.37,92.79,2.60
-8.79,45.76,-34.68,46.37,92.88,2.60
-8.53,45.76,-34.68,46.64,92.88,2.60
-8.35,45.58,-34.77,46.55,92.88,2.60
-8.26,45.49,-34.77,46.81,92.88,2.60
-8.18,45.49,-34.77,46.99,92.88,2.60
-8.18,45.49,-34.68,47.08,92.88,2.60
-8.18,45.58,-34.68,47.08,92.88,2.60
-8.18,45.58,-34.59,47.08,92.88,2.60
-8.18,45.58,-34.42,47.08,92.88,2.60
-8.09,45.58,-34.68,47.08,92.88,2.72
-7.38,45.58,-34.77,47.08,92.88,3.47
-6.77,45.58,-34.77,47.08,92.88,5.88
-6.59,45.58,-34.77,46.81,92.88,9.91
-6.59,45.58,-34.77,46.55,92.88,14.61
-6.59,45.58,-34.77,46.90,92.88,19.88
-6.68,45.58,-34.77,46.90,92.79,24.77
-6.68,45.41,-34.77,46.46,92.62,28.85
-6.68,44.53,-34.77,46.73,92.62,31.76
-6.59,44.26,-34.42,46.90,92.62,33.19
-6.51,44.00,-34.33,46.99,92.62,33.13
-6.51,43.65,-34.77,46.99,92.70,32.69
-6.59,38.11,-36.35,47.16,92.79,30.46
-6.86,30.37,-37.41,48.22,92.79,27.18
-7.03,23.52,-37.49,50.59,92.79,23.65
-7.03,10.24,-37.32,57.27,92.53,18.20
-6.86,2.33,-37.32,61.93,92.53,15.23
-6.77,-4.97,-37.32,66.86,92.53,12.26
-6.77,-11.56,-37.41,71.69,92.53,9.04
-6.77,-17.89,-37.49,76.35,92.53,5.76
-6.77,-23.60,-37.49,80.31,92.53,2.91
-6.68,-28.79,-37.49,83.82,92.44,2.11
-6.42,-34.07,-37.49,86.73,92.44,2.35
-5.01,-39.52,-37.49,89.45,92.44,2.41
-1.41,-44.62,-37.23,92.00,92.44,2.41
3.78,-48.04,-37.05,94.90,92.44,2.41
8.79,-50.24,-36.26,99.12,92.44,2.41
13.63,-51.74,-35.30,104.13,92.35,2.41
17.85,-53.49,-33.71,105.36,92.35,2.41
22.59,-54.64,-30.90,104.66,92.35,2.41
28.04,-55.52,-26.95,104.57,92.35,2.41
34.29,-57.63,-23.08,104.57,92.35,2.41
41.05,-58.51,-19.12,104.40,92.26,2.41
50.11,-58.07,-14.20,104.13,92.26,2.41
59.60,-57.45,-9.10,104.04,92.26,2.41
68.31,-56.75,-4.09,104.04,92.26,2.41
75.16,-55.96,0.75,104.04,92.26,2.41
80.62,-55.52,5.85,104.04,92.26,2.41
84.40,-55.52,11.91,103.78,92.35,2.41
86.24,-56.13,18.86,101.67,92.35,2.41
86.33,-56.84,25.98,96.92,92.35,2.41
86.51,-58.42,33.98,89.98,92.35,2.41
86.59,-61.58,42.33,82.95,92.35,2.41
86.77,-67.65,51.21,77.23,92.35,2.41
86.86,-75.21,60.09,74.51,92.62,2.41
87.91,-82.86,67.91,74.15,92.70,2.41
89.67,-89.27,74.07,74.24,92.79,2.41
90.81,-93.85,78.73,74.24,92.79,2.41
90.99,-96.40,82.42,74.24,92.88,2.41
90.99,-98.51,85.58,74.24,92.88,2.41
90.99,-100.26,88.31,74.42,92.88,2.41
90.99,-102.81,91.91,74.42,92.88,2.41
90.99,-106.07,96.75,74.42,92.88,2.41
91.16,-106.86,99.74,75.65,92.53,2.41
91.08,-106.59,98.42,79.43,92.44,2.41
91.08,-106.15,97.80,81.71,92.44,2.41
90.90,-106.33,97.80,80.84,92.44,2.41
90.99,-106.42,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
90.90,-106.51,97.89,80.31,92.44,2.41
