shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-9.23,-86.37,14.11,93.05,92.44,2.23
-9.23,-86.37,14.11,93.05,92.44,2.23
-9.23,-86.37,14.11,93.05,92.44,2.23
-9.23,-86.46,14.11,93.05,92.44,2.23
-9.23,-86.46,14.02,93.05,92.44,2.23
-9.23,-86.20,14.02,93.05,92.44,2.23
-9.23,-85.49,14.02,93.05,92.44,2.23
-9.23,-84.44,14.11,93.05,92.44,2.23
-9.23,-80.13,13.67,93.05,92.44,2.23
-9.14,-72.40,13.49,92.62,92.44,2.23
-9.23,-63.69,13.32,92.62,92.53,2.23
-9.49,-56.13,12.26,92.53,92.53,2.23
-9.49,-49.27,9.71,92.53,92.53,2.23
-9.32,-42.86,5.49,92.44,92.53,2.23
-9.32,-35.82,0.22,92.44,92.53,2.23
-9.32,-28.00,-6.29,92.44,92.53,2.23
-9.32,-20.00,-13.14,92.44,92.53,2.23
-9.23,-12.09,-19.91,92.44,92.53,2.23
-9.41,-4.26,-26.68,92.44,92.53,2.23
-9.41,3.12,-32.92,92.44,92.53,2.23
-9.23,10.68,-38.02,92.53,92.53,2.23
-9.14,18.07,-41.71,92.53,92.53,2.23
-9.14,24.57,-44.00,92.79,92.53,2.23
-9.23,30.11,-44.97,92.97,92.53,2.23
-9.23,34.77,-44.97,92.97,92.53,2.23
-9.14,38.46,-44.97,93.05,92.53,2.23
-9.14,40.75,-44.97,93.05,92.53,2.23
-9.14,41.27,-45.14,93.05,92.44,2.23
-9.14,41.19,-45.14,93.05,92.18,2.23
-9.14,41.19,-45.14,93.05,92.18,2.23
-9.14,41.71,-44.97,93.14,92.35,2.23
-9.14,41.80,-44.79,93.23,92.26,2.23
-9.14,41.80,-44.79,93.41,92.18,2.23
-9.14,41.80,-44.79,94.55,92.18,2.23
-9.05,41.80,-44.79,96.22,92.09,2.23
-9.05,41.89,-44.88,97.19,92.09,2.23
-9.05,41.80,-45.23,97.10,92.09,2.23
-9.05,41.80,-45.23,97.10,92.09,2.23
-9.05,41.80,-45.23,97.10,92.09,2.23
-9.05,41.80,-45.05,97.10,92.00,2.23
-9.05,41.80,-45.05,97.19,91.91,2.23
-9.05,41.80,-45.05,97.19,91.91,2.35
-8.97,41.63,-45.23,97.10,91.91,3.22
-8.97,41.19,-45.32,97.10,91.74,6.93
-8.97,41.10,-45.32,97.10,91.03,10.40
-8.97,41.10,-45.41,97.01,90.42,14.30
-8.97,41.01,-45.41,97.01,89.80,18.64
-8.97,41.01,-45.41,97.01,89.54,22.29
-8.62,41.01,-45.41,97.01,89.54,24.95
-7.74,41.01,-45.41,97.01,89.45,26.32
-7.47,41.01,-45.41,97.01,89.45,26.56
-7.38,41.01,-45.41,97.01,89.45,26.56
-7.38,40.22,-45.41,97.27,89.45,26.56
-7.38,36.70,-45.49,97.36,89.45,26.56
-7.65,30.29,-45.49,97.01,89.45,26.56
-7.74,23.34,-45.49,96.92,89.45,26.56
-7.74,16.40,-45.41,97.01,89.45,26.56
-7.65,9.98,-45.41,97.19,89.45,26.56
-7.47,3.56,-45.41,97.54,89.54,26.56
-7.30,-2.77,-45.32,97.54,89.63,26.56
-7.21,-9.71,-45.05,97.63,89.63,26.56
-6.86,-16.66,-44.88,97.63,89.98,26.56
-3.96,-23.25,-44.79,97.71,89.98,26.50
1.76,-28.26,-44.79,97.71,89.98,26.44
7.47,-31.16,-44.88,97.71,90.07,26.38
13.19,-33.45,-44.88,97.71,90.07,26.38
18.81,-35.74,-44.88,97.71,90.07,25.26
24.53,-37.49,-44.88,97.71,89.89,22.35
29.54,-38.81,-44.88,97.71,89.80,17.65
33.76,-40.57,-45.05,97.71,89.98,11.46
36.84,-42.59,-44.97,97.71,89.80,4.21
39.30,-44.62,-44.88,97.71,89.71,0.31
42.11,-46.73,-44.88,97.71,89.71,2.29
45.63,-48.22,-44.70,97.71,89.80,3.78
49.67,-48.31,-44.09,97.71,89.71,3.78
53.71,-48.57,-42.42,97.71,89.71,3.84
58.02,-48.84,-39.87,97.89,89.71,3.84
61.89,-49.63,-35.82,98.77,89.63,3.84
65.23,-53.49,-30.99,101.85,89.63,3.84
67.25,-58.59,-24.66,104.40,89.63,3.84
68.31,-64.13,-16.84,104.40,89.63,3.84
69.19,-70.81,-7.87,103.87,89.71,3.84
70.42,-77.58,1.71,103.52,90.07,3.84
71.82,-84.26,12.09,103.25,90.15,3.84
73.58,-91.91,22.73,100.70,90.15,3.84
75.52,-98.24,33.54,95.08,90.15,3.84
77.36,-104.22,44.35,87.96,90.15,3.84
79.30,-107.30,54.46,81.19,90.15,3.84
81.05,-106.86,63.52,75.74,90.15,3.84
82.02,-106.42,70.99,72.48,90.15,3.84
82.55,-106.33,79.25,71.96,90.15,3.84
82.64,-106.15,81.71,72.13,90.15,3.84
82.64,-106.15,85.14,72.84,90.15,3.84
82.73,-106.15,88.84,74.68,90.15,3.84
82.73,-106.24,91.03,76.62,90.15,3.84
82.73,-106.24,92.88,78.55,90.15,3.84
82.73,-106.24,93.76,80.75,89.98,3.84
82.73,-106.24,93.93,83.65,89.89,3.84
82.73,-106.24,94.20,85.41,90.07,3.84
82.73,-106.24,95.08,84.79,89.80,3.84
82.73,-106.15,96.22,83.38,89.80,3.84
82.81,-106.15,97.36,81.19,89.89,3.84
82.81,-106.24,98.15,80.13,89.89,3.84
82.81,-106.24,98.33,80.13,89.89,3.84
82.73,-106.24,98.33,80.13,89.89,3.84
82.73,-106.24,98.33,80.13,89.89,3.84
82.73,-106.24,98.33,80.13,89.89,3.84
82.73,-106.24,98.33,80.13,89.89,3.84
