shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-5.89,-87.08,12.26,90.51,96.57,3.10
-5.71,-86.90,12.18,90.51,96.57,3.10
-5.71,-86.81,12.18,90.51,96.57,3.10
-5.63,-86.55,12.00,90.51,96.57,3.10
-5.63,-85.67,12.09,90.51,96.57,3.10
-5.63,-82.42,11.74,90.51,96.57,3.10
-5.54,-77.85,11.56,90.51,96.57,3.10
-5.54,-73.10,11.56,90.51,96.57,3.10
-5.45,-68.09,11.47,90.51,96.57,3.10
-5.10,-62.46,11.47,90.51,96.57,3.10
-3.96,-56.13,11.47,90.51,96.57,3.10
-1.93,-50.59,11.47,90.51,96.57,3.10
0.62,-45.41,11.38,89.98,96.57,3.10
3.52,-40.40,11.38,89.98,96.57,3.10
6.15,-35.56,11.38,89.98,96.57,3.10
8.79,-31.43,11.38,89.89,96.57,3.10
12.31,-27.74,11.65,89.89,96.57,3.10
16.09,-23.78,11.65,89.89,96.57,3.10
19.34,-19.30,11.56,89.80,96.48,3.10
21.63,-14.99,11.56,89.80,96.48,3.10
23.65,-11.12,11.56,89.80,96.48,3.10
25.14,-8.48,11.38,89.80,96.48,3.10
25.58,-6.90,11.38,89.80,96.48,3.10
25.76,-6.55,11.38,89.80,96.48,3.10
25.76,-6.64,11.38,89.71,96.48,3.10
25.67,-6.99,11.38,88.84,96.48,3.10
25.67,-6.55,11.38,87.16,96.48,3.10
25.67,-6.02,11.74,84.70,96.48,3.10
25.67,-4.97,11.91,82.24,96.48,3.10
25.41,-3.91,11.91,80.48,96.48,3.10
25.32,-3.21,11.91,79.78,96.48,3.10
25.32,-2.86,12.00,80.04,96.48,3.10
25.32,-2.86,12.00,80.04,96.48,3.10
25.32,-2.68,12.00,79.78,96.48,3.10
25.23,-2.24,12.00,80.13,96.48,3.10
25.23,-1.63,12.00,80.13,96.48,3.10
25.41,-1.10,12.00,80.22,96.57,3.10
25.49,-0.57,12.09,80.31,96.57,3.10
25.49,-0.48,12.09,80.31,96.57,3.10
25.41,-0.48,12.09,80.31,96.57,3.10
25.32,-0.40,12.09,80.31,96.66,3.10
25.32,-0.40,12.18,80.31,96.66,3.10
25.23,-0.40,12.18,80.31,96.66,3.10
25.23,-0.48,12.18,80.31,96.66,3.10
25.23,-0.48,12.18,80.31,96.66,3.10
25.23,-0.57,12.18,80.48,96.57,3.10
25.23,-0.57,12.35,80.66,96.57,3.16
25.23,-0.48,12.79,81.80,96.57,3.22
25.41,-0.48,13.49,83.56,96.57,3.22
25.49,-0.48,13.85,84.18,96.48,3.22
25.32,-0.48,14.02,84.18,96.48,3.22
25.41,-0.48,14.02,84.18,96.48,3.22
25.58,-0.48,14.02,84.18,96.48,3.34
25.67,-0.48,14.02,84.18,96.40,3.78
25.67,-0.75,14.02,84.18,96.40,7.43
25.67,-0.75,14.02,84.18,96.40,11.39
25.67,-0.75,14.02,84.09,96.40,16.22
25.76,-0.92,14.11,84.09,96.40,21.11
25.76,-1.01,14.02,84.09,96.40,23.96
25.76,-1.01,13.85,84.09,96.40,25.33
25.67,-1.01,14.02,84.09,96.40,25.51
25.67,-1.01,14.11,84.09,96.40,25.51
25.67,-0.92,14.11,84.09,96.40,25.51
25.67,-0.84,14.11,84.09,96.40,25.51
25.67,-1.10,14.02,84.09,96.40,25.51
25.67,-1.36,13.58,84.18,96.40,25.51
25.67,-2.77,12.88,84.18,96.40,25.51
25.67,-7.34,11.12,84.62,96.40,25.51
25.67,-13.76,9.36,84.53,96.48,25.51
25.67,-20.09,8.48,84.44,96.48,25.51
25.76,-26.15,8.57,84.70,96.48,25.57
25.85,-32.57,8.92,84.79,96.57,25.57
26.73,-38.55,10.33,84.79,96.57,25.57
29.63,-44.26,12.35,84.79,96.57,25.57
34.46,-51.03,15.16,84.79,96.57,25.57
39.74,-56.66,18.59,84.79,96.57,25.57
45.89,-62.55,22.64,84.70,96.57,25.57
53.27,-67.65,27.21,84.18,96.75,25.57
60.92,-71.60,31.87,84.09,96.92,25.57
69.36,-75.21,36.53,84.09,96.92,25.57
76.66,-78.20,41.01,84.09,97.01,25.57
82.46,-80.57,45.41,84.09,97.01,25.57
