shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-9.32,-90.42,17.27,103.69,95.43,2.97
-11.87,-92.70,17.27,102.46,95.43,2.97
-12.57,-94.29,17.45,100.88,95.43,2.97
-12.57,-95.08,17.54,99.12,95.43,2.97
-12.57,-95.25,17.45,97.54,95.43,2.97
-12.48,-95.25,17.54,96.66,95.43,2.97
-12.40,-95.25,17.80,96.31,95.43,2.97
-12.40,-95.25,17.80,96.31,95.43,2.97
-12.40,-95.25,17.80,96.31,95.43,2.97
-12.40,-95.25,17.89,96.31,95.43,2.97
-12.40,-95.25,17.89,96.31,95.43,2.97
-12.40,-95.25,17.89,96.31,95.43,2.97
-12.40,-95.25,17.89,96.31,95.43,2.97
-12.40,-95.25,17.89,96.31,95.43,2.97
-12.40,-95.25,17.89,96.31,95.43,2.97
-12.40,-95.25,17.89,96.40,95.43,2.97
-12.40,-95.25,17.89,96.40,95.43,2.97
-12.40,-95.25,17.89,96.48,95.43,2.97
-12.31,-95.25,17.89,96.48,95.43,2.97
