shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
85.80,-106.51,97.89,80.31,87.16,3.03
85.80,-106.51,97.89,80.31,87.16,3.03
85.80,-106.51,97.89,80.31,87.16,3.03
85.80,-106.51,97.89,80.31,87.16,3.03
85.80,-106.51,97.89,80.31,87.16,3.03
85.80,-106.42,97.80,80.31,87.16,3.03
85.80,-105.89,97.36,80.48,87.43,3.03
85.89,-103.52,96.22,80.22,87.16,3.03
85.89,-98.95,91.47,79.96,87.52,3.03
85.89,-92.00,82.86,80.40,87.52,3.03
85.71,-81.98,70.73,80.57,87.52,3.03
85.71,-70.73,59.65,80.57,87.60,3.03
85.54,-56.84,49.27,80.57,87.60,3.03
85.01,-46.64,43.30,79.96,87.69,3.03
83.16,-36.79,37.05,79.78,87.69,3.03
80.44,-27.74,29.67,79.78,87.69,3.03
77.36,-19.38,21.67,79.78,87.69,3.03
74.29,-12.00,13.93,79.78,87.69,3.03
70.77,-5.41,6.55,79.78,87.69,3.03
66.81,0.66,-0.48,79.78,87.69,3.03
63.03,6.02,-6.29,79.78,87.69,3.03
59.34,11.03,-11.82,79.78,87.69,3.03
55.47,15.87,-16.75,79.78,87.69,3.03
51.52,20.18,-20.79,79.78,87.69,3.03
48.44,24.04,-23.87,79.78,87.60,3.03
45.89,27.03,-26.59,79.78,87.60,3.03
44.13,28.88,-28.26,80.13,87.60,3.03
42.46,30.02,-28.53,80.13,87.60,3.03
41.58,30.64,-28.88,79.78,87.34,3.03
41.14,30.90,-28.97,79.78,87.34,3.03
41.05,30.90,-29.05,79.78,87.34,3.03
41.05,30.81,-29.05,79.78,87.16,3.03
41.41,30.99,-29.14,79.60,86.81,3.10
41.67,31.16,-29.14,78.73,86.37,3.16
41.85,31.16,-29.14,76.97,83.38,3.16
43.08,30.73,-29.14,75.56,77.67,3.16
44.84,30.46,-29.14,74.51,70.90,3.16
46.15,30.73,-29.14,74.07,59.38,3.22
46.15,30.46,-29.05,74.68,52.53,3.22
46.15,30.02,-29.05,74.77,49.36,3.22
46.15,28.70,-28.62,74.86,47.08,3.22
46.15,28.53,-28.44,74.95,46.46,3.22
46.15,28.62,-28.09,74.95,46.46,3.22
46.15,28.70,-27.47,74.95,46.46,3.22
45.89,28.62,-27.03,74.95,46.46,3.22
45.63,28.62,-26.42,74.95,46.46,3.22
45.54,28.53,-25.89,74.95,46.46,3.22
45.54,28.53,-25.63,74.95,46.46,3.28
45.54,28.53,-25.63,74.95,46.29,3.84
45.54,28.53,-25.63,74.95,46.20,5.51
45.54,28.53,-25.54,74.95,46.20,8.42
45.54,28.53,-25.36,75.03,46.20,12.01
45.63,28.44,-25.19,75.56,46.20,15.73
45.80,28.44,-25.54,78.02,46.20,19.32
45.80,28.44,-25.71,80.57,46.20,21.86
45.63,28.44,-25.71,82.07,46.20,23.16
45.54,27.91,-25.71,82.42,46.29,23.53
45.80,27.82,-25.71,82.15,46.37,23.47
46.15,27.82,-25.80,81.98,46.11,23.47
46.33,28.44,-25.80,81.89,46.37,23.47
47.38,28.62,-25.36,81.89,46.37,23.59
48.18,28.70,-25.19,82.42,46.46,23.65
48.62,28.79,-25.19,82.42,46.46,23.53
48.70,28.88,-25.19,82.42,46.46,23.53
48.70,30.11,-25.19,82.51,46.55,23.47
48.70,32.66,-25.27,82.51,46.55,23.47
48.70,35.03,-25.63,82.42,46.55,23.47
48.70,36.35,-25.63,81.98,46.55,23.47
48.70,36.79,-25.63,81.98,46.55,23.47
48.44,36.88,-25.63,81.98,46.55,23.47
48.26,36.97,-25.63,81.98,46.55,23.47
48.09,37.23,-25.63,81.89,46.55,23.47
48.00,37.76,-25.63,81.89,46.55,23.47
47.47,38.37,-25.63,81.89,46.55,23.47
47.21,38.90,-25.71,81.89,46.55,23.47
47.03,38.99,-25.71,81.89,46.55,23.47
47.03,38.99,-25.71,81.89,46.55,23.47
47.03,38.99,-25.71,81.89,46.55,23.47
47.03,38.99,-25.71,81.89,46.55,23.47
47.03,38.99,-25.71,81.89,46.55,23.47
46.95,38.99,-25.71,81.89,46.55,23.47
46.95,38.99,-25.71,81.89,46.55,23.47
46.95,38.99,-25.71,81.89,46.55,23.47
46.95,38.90,-25.71,81.89,46.55,23.47
46.95,38.90,-25.71,81.89,46.55,23.47
46.95,38.81,-25.71,81.89,46.55,23.47
46.95,38.64,-25.71,81.89,46.55,23.47
46.95,38.55,-25.71,81.89,46.55,23.47
46.95,38.55,-25.71,81.89,46.55,23.47
46.86,38.55,-25.71,81.89,46.55,23.47
46.86,38.46,-25.71,81.89,46.55,23.47
46.95,38.37,-25.80,81.89,46.55,23.47
46.95,38.37,-25.80,81.89,46.55,23.47
46.86,38.46,-25.80,81.89,46.55,23.47
46.86,38.37,-25.80,81.89,46.55,23.41
46.77,38.37,-25.80,81.89,46.55,23.34
46.77,38.37,-25.80,81.89,46.55,22.97
46.77,38.46,-25.80,81.89,46.55,21.11
46.77,38.46,-25.80,81.89,46.55,15.42
46.77,38.37,-25.80,81.89,46.55,9.54
46.77,38.29,-25.89,81.80,46.55,1.11
46.77,38.29,-25.89,81.80,46.55,1.49
46.68,38.29,-25.89,81.80,46.55,3.10
45.80,38.37,-25.89,81.80,46.55,2.97
45.45,38.37,-25.80,81.80,46.55,2.79
45.27,38.20,-25.89,81.80,46.55,2.79
45.19,37.05,-26.33,81.89,46.55,2.79
45.19,33.98,-27.47,82.33,46.55,2.79
45.36,30.29,-28.35,82.42,46.55,2.79
45.54,25.10,-28.79,82.51,46.64,2.79
45.63,18.77,-28.88,82.59,46.64,2.79
45.63,12.35,-28.70,82.59,46.64,2.79
45.63,2.77,-28.62,82.68,46.64,2.79
45.63,-3.74,-28.53,82.68,46.64,2.79
45.63,-9.80,-28.53,82.68,46.64,2.79
45.71,-15.25,-28.53,82.77,46.64,2.79
45.80,-21.85,-28.26,82.77,47.52,2.79
45.80,-25.36,-27.30,82.77,49.80,2.79
46.15,-28.70,-25.01,82.77,53.76,2.79
46.95,-32.40,-20.44,82.77,59.12,2.79
46.86,-36.35,-13.67,82.68,64.57,2.79
46.15,-43.03,-1.80,82.51,72.04,2.79
44.13,-48.22,7.08,81.98,75.12,2.85
40.00,-54.20,15.60,81.89,76.26,2.91
34.11,-60.18,22.99,81.80,76.18,2.91
26.55,-66.33,28.97,81.80,76.18,2.91
18.90,-71.60,33.27,81.80,76.18,2.97
11.08,-76.62,36.35,81.80,76.18,2.97
4.92,-80.31,37.49,81.80,76.18,2.97
-0.18,-83.56,37.58,81.71,76.18,2.97
-3.25,-86.55,37.76,81.63,76.18,2.97
-3.43,-88.84,37.85,80.84,76.44,2.97
-3.34,-90.59,37.67,79.87,76.88,2.97
-3.34,-92.09,37.49,79.43,76.88,2.97
-3.34,-93.58,37.49,79.34,76.97,2.97
-3.34,-95.16,37.67,79.34,76.97,2.97
-3.34,-95.87,37.49,79.34,76.97,2.97
-3.34,-96.57,37.32,79.34,76.97,2.97
-3.34,-97.27,37.32,79.34,76.97,2.97
-3.34,-97.80,37.41,79.34,77.05,2.97
-3.34,-98.15,37.23,79.34,77.05,2.97
-3.34,-98.24,36.44,79.52,77.05,2.97
-3.34,-98.24,35.47,79.60,77.05,2.97
-3.34,-98.24,35.03,79.43,77.05,3.03
-3.34,-98.24,34.95,79.43,77.05,3.03
-3.34,-98.24,34.95,79.43,77.05,3.03
-3.34,-98.24,34.95,79.43,77.05,3.03
