shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-9.85,-79.25,2.33,93.32,92.26,3.72
-9.76,-79.25,2.33,93.32,92.26,3.72
-9.76,-79.25,2.33,93.32,92.26,3.72
-9.58,-79.25,2.33,93.32,92.26,3.72
-9.58,-79.25,2.33,93.32,92.26,3.72
-9.49,-79.25,2.33,93.32,92.26,3.72
-9.76,-79.25,2.33,93.32,92.26,3.72
-9.93,-78.55,2.24,93.32,92.26,3.72
-9.93,-78.20,2.33,93.32,92.26,3.72
-9.93,-76.26,2.33,93.32,92.26,3.72
-9.93,-70.99,2.15,93.23,92.26,3.72
-9.93,-59.21,1.63,92.79,92.26,3.72
-10.02,-49.19,1.45,92.62,92.26,3.72
-10.02,-42.33,0.92,92.62,92.26,3.72
-11.08,-35.03,0.13,92.62,92.26,3.72
-14.77,-27.38,-1.27,92.53,92.26,3.72
-18.73,-21.23,-3.21,91.91,92.26,3.72
-22.07,-15.87,-5.32,90.24,92.26,3.72
-24.18,-11.03,-6.99,88.04,92.26,3.72
-25.14,-6.29,-8.13,85.49,92.26,3.72
-25.32,-1.98,-8.66,83.03,92.26,3.72
-25.32,2.07,-8.75,80.66,92.26,3.72
-25.32,6.02,-8.75,78.64,92.26,3.72
-25.41,9.80,-8.75,76.88,92.26,3.72
-26.11,12.79,-8.75,75.56,92.26,3.72
-28.04,15.52,-8.75,73.80,92.26,3.72
-29.01,16.31,-8.84,72.40,92.26,3.72
-29.54,16.48,-8.57,70.37,92.26,3.72
-29.89,16.57,-8.22,68.26,92.26,3.72
-29.89,17.63,-8.31,66.59,92.26,3.72
-29.89,19.21,-8.66,65.63,92.26,3.72
-29.89,20.35,-8.66,64.84,92.26,3.72
-29.89,20.79,-8.66,64.48,92.18,3.72
-29.89,20.79,-8.66,64.48,92.18,3.72
-29.89,20.79,-8.40,64.57,92.18,3.72
-29.89,20.79,-8.40,64.66,91.91,3.72
-29.89,20.79,-8.31,64.92,91.82,3.72
-29.89,20.79,-8.31,65.01,91.74,3.72
-29.80,20.79,-8.22,65.10,91.74,3.78
-29.54,20.88,-8.22,65.10,91.74,3.84
-29.45,20.88,-8.22,65.10,91.74,3.96
-29.45,20.88,-8.22,65.10,91.65,5.45
-29.36,20.88,-8.22,65.10,91.65,8.67
-29.36,20.79,-8.22,65.10,91.65,13.75
-29.36,20.53,-8.22,65.10,91.65,19.75
-29.36,20.35,-8.31,65.10,91.74,24.77
-29.36,20.35,-8.40,65.10,91.74,28.42
-29.36,20.35,-8.31,65.10,91.74,29.91
-29.36,20.35,-8.22,65.10,91.74,29.91
-29.27,20.35,-8.22,65.10,91.74,29.91
-29.27,20.35,-8.22,65.10,91.74,29.91
-29.27,20.44,-8.22,65.10,91.74,29.91
-29.27,20.35,-8.22,65.10,91.74,29.91
-29.36,20.09,-8.57,65.10,91.74,29.91
-29.36,18.95,-8.84,65.10,91.74,29.91
-29.36,13.76,-9.63,65.19,91.74,29.91
-29.27,5.41,-9.80,65.63,91.74,29.91
-28.84,-2.51,-9.89,66.68,91.74,29.91
-27.78,-9.63,-10.07,68.09,91.74,29.85
-26.37,-16.48,-10.07,70.11,91.74,29.16
-24.79,-23.78,-10.15,72.84,91.82,27.49
-22.68,-30.02,-9.98,75.82,91.82,24.83
-19.16,-36.44,-10.15,79.25,91.82,20.50
-12.40,-44.26,-10.15,83.82,91.82,12.26
-8.70,-47.87,-10.24,86.02,91.82,6.93
-5.45,-51.47,-10.24,87.25,91.82,2.23
-1.93,-55.43,-10.24,87.43,91.82,1.24
3.25,-60.44,-10.24,87.87,91.91,2.66
8.88,-65.19,-10.24,87.87,91.91,3.53
16.53,-68.44,-10.07,87.87,91.82,3.59
29.27,-70.37,-9.54,88.13,91.82,3.59
39.56,-70.37,-8.84,89.63,91.74,3.59
51.08,-71.16,-5.76,94.20,91.74,3.59
60.84,-71.87,-1.27,99.82,91.74,3.59
68.84,-73.10,3.30,104.48,91.74,3.59
75.87,-74.51,9.89,104.84,91.74,3.59
78.95,-76.18,16.92,104.04,91.74,3.59
80.79,-78.37,24.75,103.69,91.91,3.59
83.16,-82.33,35.03,103.43,92.09,3.59
85.71,-87.43,43.65,102.37,92.09,3.59
87.74,-93.41,52.26,100.70,92.09,3.59
88.97,-99.12,60.35,98.42,92.09,3.59
89.58,-104.13,68.09,96.22,92.09,3.59
89.85,-106.95,74.33,94.55,92.18,3.59
89.85,-107.03,79.25,92.09,92.18,3.59
89.76,-106.59,82.95,89.10,92.18,3.59
89.76,-106.51,86.02,87.25,92.09,3.59
89.76,-106.51,89.45,86.37,92.00,3.59
89.76,-106.51,93.58,85.85,91.74,3.59
89.76,-106.51,96.13,85.05,91.74,3.59
89.49,-106.51,96.48,82.77,91.82,3.59
89.32,-106.51,97.10,81.27,91.82,3.59
89.32,-106.51,97.54,80.75,91.82,3.59
89.32,-106.51,97.63,80.75,91.82,3.59
89.23,-106.51,97.63,80.75,91.82,3.59
88.62,-106.51,97.63,80.75,91.82,3.59
87.38,-106.51,97.63,80.66,91.82,3.59
86.15,-106.51,97.63,80.66,91.82,3.59
85.71,-106.51,97.63,80.66,91.82,3.59
85.71,-106.51,97.63,80.66,91.82,3.59
85.63,-106.51,97.63,80.66,91.82,3.59
85.63,-106.51,97.63,80.66,91.82,3.59
85.63,-106.51,97.63,80.66,91.82,3.59
