shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
90.64,-104.92,98.15,80.66,94.90,3.28
90.64,-105.10,98.15,80.66,94.90,3.28
90.73,-105.10,98.15,80.66,94.90,3.28
90.73,-105.01,98.15,80.66,94.90,3.28
90.73,-104.57,98.15,80.66,94.99,3.28
90.55,-104.31,98.15,80.66,95.25,3.28
90.55,-103.25,97.89,80.84,95.08,3.28
90.55,-100.09,97.54,80.75,94.99,3.28
90.55,-95.34,95.52,80.57,94.99,3.22
90.55,-89.54,89.54,81.19,95.25,3.22
90.46,-82.33,81.27,81.45,95.34,3.22
90.37,-73.98,71.69,81.71,95.34,3.22
90.29,-65.27,61.23,82.07,95.34,3.22
89.58,-56.22,50.77,82.07,95.43,3.22
86.95,-45.85,40.22,81.98,95.43,3.22
82.64,-29.58,26.42,81.89,95.43,3.22
80.79,-19.65,18.86,81.45,95.43,3.22
79.47,-9.80,11.21,81.45,95.43,3.22
78.15,-1.36,4.09,81.45,95.43,3.22
76.04,6.02,-2.95,81.54,95.43,3.22
73.49,11.91,-9.27,81.80,95.43,3.22
70.86,16.66,-14.99,81.98,95.43,3.22
68.31,20.00,-19.30,82.07,95.43,3.22
65.85,22.02,-21.67,82.15,95.52,3.22
63.74,22.73,-21.93,82.15,95.52,3.22
61.80,23.25,-21.85,82.24,95.52,3.22
59.78,23.34,-21.58,82.24,95.52,3.22
57.76,23.34,-21.49,82.51,95.52,3.28
56.35,23.16,-20.88,84.88,95.87,3.28
55.56,22.81,-20.53,89.27,97.01,3.28
54.95,22.64,-20.97,94.55,98.95,3.28
54.68,22.64,-21.32,99.03,100.97,3.22
54.86,22.64,-23.25,100.18,102.46,3.22
55.12,22.73,-25.63,100.26,102.99,3.22
55.65,22.81,-26.77,100.44,103.08,3.22
56.97,23.34,-27.03,100.53,103.08,3.22
58.11,23.60,-27.03,100.18,102.90,3.22
58.46,23.87,-27.03,100.09,102.81,3.22
58.46,24.48,-27.03,100.53,102.73,3.22
58.46,24.92,-27.03,100.62,102.64,3.22
58.46,24.57,-27.38,100.26,102.46,3.22
58.64,24.57,-27.56,100.00,102.29,3.22
58.73,24.48,-28.00,99.21,100.79,3.28
58.81,24.66,-28.88,98.86,96.48,3.28
59.25,24.66,-29.23,98.86,88.66,3.28
60.48,24.57,-29.23,98.86,81.10,3.28
60.92,24.48,-29.32,98.51,74.42,3.28
61.27,24.84,-29.32,98.51,69.23,3.28
61.36,25.27,-29.23,98.59,65.98,3.28
61.36,25.36,-28.88,98.86,65.19,3.28
61.19,25.36,-28.79,99.03,65.27,3.28
61.10,25.36,-28.79,99.03,65.27,3.34
61.19,25.27,-28.79,99.03,65.27,3.84
61.27,25.27,-29.05,99.03,65.27,5.57
61.27,25.19,-29.05,99.03,65.27,8.92
61.27,25.19,-28.79,99.12,65.27,13.25
61.36,25.19,-28.79,99.38,65.27,18.45
61.45,25.27,-28.79,99.91,65.27,22.66
61.71,25.27,-28.79,100.79,65.19,25.57
62.42,25.10,-28.79,101.58,65.10,26.93
63.56,25.10,-29.05,101.76,65.01,27.00
63.82,25.27,-28.88,101.49,65.01,27.00
64.00,25.63,-28.79,101.41,65.10,27.00
64.09,27.21,-28.79,101.41,65.19,27.00
64.09,29.49,-28.97,101.41,65.19,27.00
64.09,31.43,-29.05,101.41,65.19,27.00
64.09,32.22,-29.05,101.23,65.10,27.00
64.09,32.75,-29.05,101.23,65.01,27.00
64.18,33.10,-29.05,101.14,65.10,27.00
64.18,33.71,-28.79,101.14,65.19,27.00
64.18,35.21,-28.79,101.14,65.27,27.00
64.18,36.79,-29.14,101.05,65.36,27.00
64.18,38.37,-29.14,100.70,65.36,27.00
64.18,39.69,-29.14,99.65,65.36,27.00
64.18,40.40,-29.14,98.24,65.45,27.00
64.18,40.40,-28.88,97.01,65.71,27.00
64.18,40.40,-28.79,96.66,66.15,27.00
64.18,40.40,-28.79,96.66,66.42,27.00
64.18,40.40,-28.79,96.66,66.51,27.00
64.18,40.40,-28.79,96.66,66.51,27.00
64.09,40.48,-28.79,96.66,66.59,27.00
64.09,40.48,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.79,96.66,66.59,27.00
64.09,40.57,-28.97,96.66,66.59,27.00
64.09,40.48,-29.05,96.66,66.59,27.00
64.09,40.48,-29.05,96.66,66.59,27.00
64.09,40.48,-29.05,96.66,66.59,26.87
