shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-2.29,-90.42,19.03,90.95,96.84,3.03
-2.20,-90.42,19.03,90.95,96.84,3.03
-2.20,-90.33,19.03,90.95,96.84,3.03
-2.02,-89.63,18.86,90.95,96.84,3.03
-1.93,-88.92,18.77,90.95,96.84,3.03
-1.85,-83.30,18.59,90.95,96.84,3.03
-1.85,-77.23,18.15,90.95,96.84,3.03
-1.85,-71.08,17.10,90.95,96.84,3.03
-1.85,-65.98,15.25,90.95,96.84,3.03
-1.85,-60.88,12.97,90.95,96.84,3.03
-1.85,-55.16,10.68,90.95,96.84,3.03
-1.93,-49.54,8.84,90.95,96.84,3.03
-2.02,-44.62,7.96,90.86,96.84,3.03
-2.11,-40.22,7.78,90.51,96.84,3.03
-2.20,-35.82,8.04,90.51,96.92,3.03
-2.20,-30.37,8.04,90.77,97.01,3.03
-2.20,-24.04,8.13,90.86,97.01,3.03
-2.02,-18.59,8.22,90.95,97.01,3.03
-1.93,-13.67,8.22,90.95,97.01,3.03
-2.11,-9.01,8.22,91.03,97.01,3.03
-2.29,-5.93,8.22,91.03,97.01,3.03
-2.29,-4.26,8.13,91.03,97.01,3.03
-2.37,-3.82,8.22,91.12,97.01,3.03
-2.37,-3.56,8.40,91.21,97.01,3.03
-6.07,-3.74,16.04,91.12,97.01,3.03
-7.91,-4.09,18.51,90.86,96.66,3.03
-8.53,-4.18,18.95,90.51,96.66,3.03
-8.79,-4.09,18.95,90.68,96.66,3.03
-8.79,-3.91,19.12,90.77,96.66,3.03
-8.79,-3.65,19.21,90.77,96.66,3.03
-8.62,-3.56,19.30,90.77,96.66,3.03
-8.53,-3.56,19.30,90.68,96.57,3.03
-8.53,-3.56,19.30,90.51,96.57,3.03
-8.62,-3.47,19.30,90.59,96.57,3.03
-8.79,-3.47,19.30,90.59,96.57,3.10
-8.62,-3.47,19.30,90.51,96.57,3.22
-8.44,-3.74,18.95,90.42,96.57,3.47
-8.35,-3.91,18.86,90.33,96.48,4.77
-8.35,-4.00,18.86,90.33,96.48,7.62
-8.35,-4.09,18.86,90.33,96.48,12.26
-8.35,-4.09,18.86,90.24,96.48,18.02
-8.26,-3.91,18.86,90.24,96.48,23.47
-8.18,-3.74,18.86,90.15,96.48,27.55
-7.38,-3.65,18.86,90.15,96.48,30.15
-6.77,-3.56,18.86,90.15,96.48,30.65
-6.68,-3.56,18.86,90.15,96.48,30.59
-6.51,-3.56,18.86,90.15,96.48,30.46
-6.42,-3.56,18.68,90.07,96.48,29.41
-6.42,-3.56,18.68,90.07,96.48,26.56
-6.51,-3.56,18.68,90.07,96.48,22.17
-6.86,-4.00,18.68,90.07,96.40,17.21
-7.03,-4.18,18.59,90.15,96.40,11.70
-7.03,-4.18,18.59,90.15,96.40,8.24
-6.95,-4.09,18.59,90.15,96.40,5.39
-6.86,-4.09,18.59,90.15,96.40,3.34
-6.95,-4.09,18.51,90.15,96.40,2.60
-7.03,-4.09,18.33,90.15,96.40,2.54
-7.03,-4.26,17.10,90.59,96.40,2.54
-6.68,-5.05,15.08,91.03,96.40,2.54
-6.59,-8.22,13.67,91.21,96.40,2.54
-6.42,-14.11,12.79,92.26,96.40,2.54
-6.42,-21.58,11.82,93.93,96.40,2.54
-6.33,-29.05,11.12,95.60,96.40,2.54
-6.33,-36.88,10.95,97.54,96.48,2.54
-6.33,-44.35,11.21,100.35,96.57,2.54
-6.33,-51.30,11.30,103.43,96.57,2.54
-5.01,-57.54,11.30,104.48,96.66,2.54
-1.58,-62.64,11.30,104.48,96.75,2.54
3.52,-65.89,11.38,104.48,96.75,2.54
9.58,-67.74,11.65,104.48,96.75,2.54
16.53,-67.82,12.44,104.48,96.84,2.54
24.79,-67.74,13.41,104.48,96.84,2.54
33.32,-67.74,14.81,104.48,96.92,2.54
41.67,-67.65,16.40,104.48,97.01,2.54
48.97,-67.56,18.33,104.40,97.01,2.54
55.47,-66.77,21.41,103.52,97.10,2.54
60.75,-64.40,26.24,100.70,97.10,2.54
64.53,-62.55,31.87,95.78,97.10,2.54
66.64,-61.14,38.37,89.36,97.10,2.54
68.22,-60.97,46.37,81.80,97.10,2.54
69.98,-61.32,54.29,75.47,97.10,2.54
71.91,-62.64,62.02,70.20,97.19,2.54
73.32,-65.98,68.88,66.15,97.19,2.54
74.29,-70.73,75.47,63.16,97.19,2.54
74.55,-76.70,81.80,60.79,97.19,2.54
74.64,-83.38,88.13,59.12,97.27,2.60
74.64,-90.07,95.52,58.33,97.27,2.60
74.90,-95.52,100.09,59.30,97.27,2.60
75.87,-98.77,98.95,61.41,97.19,2.60
76.75,-99.47,98.33,65.89,97.19,2.60
78.33,-99.74,98.59,73.10,97.19,2.60
81.14,-100.09,98.59,81.01,96.40,2.60
83.16,-101.49,98.33,81.89,94.90,2.60
83.52,-102.20,98.33,81.01,93.49,2.60
83.52,-102.11,98.24,81.10,93.14,2.60
83.78,-101.93,98.24,81.10,92.97,2.60
83.87,-101.85,98.24,81.10,92.88,2.60
83.87,-102.11,98.24,81.01,92.88,2.60
83.78,-102.73,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
83.78,-102.64,98.42,80.57,92.79,2.60
