shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-5.45,-83.21,14.20,87.25,94.46,2.79
-5.45,-83.21,14.20,87.25,94.46,2.79
-5.45,-83.21,14.20,87.25,94.46,2.79
-5.45,-83.21,14.20,87.25,94.46,2.79
-5.19,-82.95,14.20,87.25,94.46,2.79
-5.01,-82.42,14.20,87.25,94.46,2.79
-4.92,-82.24,14.11,87.25,94.46,2.79
-4.84,-81.71,14.20,87.25,94.46,2.79
-4.75,-79.69,14.02,87.25,94.46,2.79
-4.75,-76.09,13.49,86.64,94.37,2.79
-4.66,-70.90,11.56,86.55,94.29,2.79
-4.66,-64.84,7.87,86.55,94.37,2.79
-4.66,-57.54,3.47,86.55,94.37,2.79
-3.52,-49.27,-1.19,86.55,94.37,2.79
-0.62,-40.66,-6.02,86.55,94.29,2.79
2.81,-31.87,-11.38,86.55,94.29,2.79
5.10,-23.34,-17.19,86.55,94.29,2.79
6.42,-15.43,-22.99,86.55,94.29,2.79
6.86,-7.78,-28.62,86.55,94.11,2.79
7.03,-0.22,-33.71,87.08,94.02,2.79
8.35,6.46,-37.49,87.25,94.02,2.79
9.93,11.91,-39.78,87.25,94.02,2.79
10.46,16.22,-40.75,87.25,94.02,2.79
10.73,20.09,-40.92,87.25,94.02,2.79
10.81,23.08,-40.75,87.25,94.02,2.79
10.90,26.15,-40.75,87.25,94.02,2.79
10.90,28.70,-40.75,87.25,94.02,2.79
10.99,31.60,-40.75,87.25,94.20,2.79
11.08,33.80,-40.66,87.25,94.20,2.79
11.16,35.82,-40.66,87.25,94.20,2.79
11.78,37.32,-40.66,87.25,94.20,2.79
12.48,38.55,-40.75,87.25,94.29,2.79
12.66,39.16,-40.75,87.25,94.29,2.79
12.75,39.34,-40.75,87.25,94.29,2.79
12.75,39.43,-40.66,87.25,94.29,2.79
12.75,39.43,-40.66,87.25,94.29,2.79
12.84,39.43,-40.66,87.16,94.29,2.79
12.84,39.43,-40.66,87.16,94.29,2.79
12.75,39.52,-40.66,87.16,94.29,2.79
12.75,39.52,-40.66,87.16,94.11,2.79
12.84,39.52,-40.66,86.90,94.02,2.79
12.92,39.52,-40.92,86.55,94.02,2.91
13.63,39.52,-41.01,86.55,93.93,3.03
13.80,39.52,-41.01,86.55,93.93,3.78
13.80,39.52,-41.01,86.55,93.93,5.63
13.80,39.43,-40.75,86.55,93.93,8.54
13.89,39.43,-40.75,86.73,93.93,12.32
13.98,39.43,-40.75,86.90,93.93,16.41
13.98,39.43,-40.75,87.08,93.93,20.12
13.98,39.43,-40.75,87.08,93.93,23.10
13.98,39.43,-40.75,87.08,93.93,24.95
14.07,39.43,-40.75,87.08,94.02,25.88
14.07,39.43,-40.75,87.08,94.02,25.94
14.07,39.43,-40.66,87.08,94.02,25.94
14.07,39.43,-40.66,87.16,94.02,25.94
13.98,39.43,-40.66,87.16,94.02,25.94
13.98,38.99,-40.66,87.16,94.02,25.94
13.98,38.37,-41.01,87.25,94.20,25.94
13.98,36.35,-41.01,87.25,94.20,25.94
13.98,32.66,-41.01,87.25,94.11,25.94
13.98,26.68,-41.01,87.25,94.02,25.94
13.98,21.58,-41.01,87.25,94.02,25.94
14.24,15.69,-40.75,87.25,94.02,25.94
15.74,9.63,-40.75,87.25,94.02,25.94
18.29,4.35,-40.75,87.25,94.20,25.94
22.15,-0.57,-40.75,87.25,94.29,25.94
27.34,-4.53,-40.66,87.25,94.37,25.94
33.49,-7.16,-40.66,87.25,94.37,25.94
40.00,-8.13,-40.66,87.25,94.37,25.94
47.38,-8.48,-40.48,87.16,94.46,25.94
54.07,-8.48,-39.78,86.90,94.46,25.94
60.13,-8.48,-37.41,86.64,94.46,25.94
65.05,-8.31,-33.36,86.55,94.46,25.94
68.75,-8.84,-28.00,86.46,94.46,25.88
72.70,-9.19,-19.91,84.79,94.55,25.82
75.08,-10.33,-14.81,82.07,94.46,25.26
77.01,-12.79,-8.40,78.90,94.46,22.35
78.77,-17.27,-1.71,75.91,94.46,16.72
79.74,-22.90,5.58,73.10,94.46,8.92
80.26,-29.32,14.11,70.46,94.46,1.18
80.35,-36.88,24.04,68.26,94.46,1.05
80.44,-42.95,33.27,66.15,94.55,3.47
80.53,-48.13,42.42,64.04,94.55,3.16
80.53,-52.62,50.07,62.46,94.55,2.41
80.53,-57.27,56.66,61.58,94.55,2.35
80.53,-62.29,62.29,61.93,94.64,2.35
80.44,-67.38,67.47,62.29,94.64,2.29
80.44,-71.96,72.04,62.46,94.64,2.29
80.44,-76.44,76.53,62.46,94.64,2.29
80.44,-80.31,80.57,62.55,94.64,2.29
80.44,-84.18,84.44,62.55,94.64,2.29
80.44,-87.87,88.04,62.55,94.64,2.29
80.44,-91.03,91.12,62.55,94.64,2.29
80.44,-95.16,95.52,62.90,94.73,2.29
80.44,-97.89,97.89,64.22,94.73,2.29
80.44,-100.70,98.59,66.95,94.11,2.29
80.35,-104.48,98.51,70.29,94.02,2.35
80.35,-107.74,98.51,73.98,93.93,2.41
80.53,-107.12,98.51,77.58,93.93,2.41
82.11,-106.15,97.98,81.63,93.93,2.41
83.25,-106.33,97.89,81.19,93.93,2.41
83.78,-106.33,97.89,81.19,94.02,2.41
84.40,-106.33,97.89,81.10,94.02,2.41
85.01,-106.33,97.89,81.01,94.02,2.41
85.10,-106.33,97.98,81.01,94.02,2.41
85.10,-106.33,97.98,81.01,94.02,2.41
85.01,-106.24,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
85.01,-106.15,97.98,81.01,94.02,2.41
